year,week,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,week_start,week_sin,week_cos,month,temp_range,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2022,48,60.900000000000006,27.185714285714287,30.7,23.957142857142856,3,2022-11-28,-0.4647231720437684,0.88545602565321,11,6.742857142857144,0.0,132.1,27.52857142857143,26.942857142857143,0.0,1
2022,49,136.10000000000002,25.814285714285713,29.428571428571427,22.7,5,2022-12-05,-0.35460488704253595,0.9350162426854147,12,6.728571428571428,60.900000000000006,0.0,27.185714285714287,27.52857142857143,3.0,1
2022,50,24.6,27.0,30.8,23.46666666666667,2,2022-12-12,-0.2393156642875578,0.970941817426052,12,7.333333333333332,136.10000000000002,60.900000000000006,25.814285714285713,27.185714285714287,5.0,1
2022,51,83.6,26.62857142857143,29.785714285714285,24.199999999999996,2,2022-12-19,-0.12053668025532363,0.992708874098054,12,5.585714285714289,24.6,136.10000000000002,27.0,25.814285714285713,2.0,1
2022,52,19.8,27.2,31.657142857142855,23.3,2,2022-12-26,6.432490598706546e-16,1.0,12,8.357142857142854,83.6,24.6,26.62857142857143,27.0,2.0,0
2023,1,8.700000000000001,27.285714285714285,32.1,23.599999999999998,2,2023-01-02,0.12053668025532305,0.992708874098054,1,8.500000000000004,19.8,83.6,27.2,26.62857142857143,2.0,0
2023,2,0.0,26.87142857142857,31.042857142857144,22.7,0,2023-01-09,0.23931566428755774,0.970941817426052,1,8.342857142857145,8.700000000000001,19.8,27.285714285714285,27.2,2.0,1
2023,3,31.0,26.228571428571428,30.457142857142856,23.0,1,2023-01-16,0.3546048870425356,0.9350162426854148,1,7.4571428571428555,0.0,8.700000000000001,26.87142857142857,27.285714285714285,0.0,1
2023,4,72.89999999999999,26.657142857142855,30.74285714285714,23.442857142857143,2,2023-01-23,0.4647231720437685,0.8854560256532099,1,7.299999999999997,31.0,0.0,26.228571428571428,26.87142857142857,1.0,0
2023,5,12.1,26.428571428571427,29.857142857142858,23.8,5,2023-01-30,0.5680647467311558,0.8229838658936564,1,6.057142857142857,72.89999999999999,31.0,26.657142857142855,26.228571428571428,2.0,0
2023,6,0.3,27.557142857142857,31.542857142857144,24.54285714285714,1,2023-02-06,0.6631226582407952,0.7485107481711011,2,7.0000000000000036,12.1,72.89999999999999,26.428571428571427,26.657142857142855,5.0,0
2023,7,0.0,27.62857142857143,31.685714285714283,23.928571428571427,0,2023-02-13,0.7485107481711011,0.6631226582407953,2,7.757142857142856,0.3,12.1,27.557142857142857,26.428571428571427,1.0,1
2023,8,67.8,27.285714285714285,32.07142857142857,23.97142857142857,4,2023-02-20,0.8229838658936564,0.5680647467311559,2,8.099999999999998,0.0,0.3,27.62857142857143,27.557142857142857,0.0,0
2023,9,0.5,27.75714285714286,32.32857142857143,24.3,1,2023-02-27,0.8854560256532099,0.4647231720437686,2,8.028571428571428,67.8,0.0,27.285714285714285,27.62857142857143,4.0,1
2023,10,41.2,27.25714285714286,31.985714285714288,24.7,3,2023-03-06,0.9350162426854148,0.35460488704253557,3,7.285714285714288,0.5,67.8,27.75714285714286,27.285714285714285,1.0,0
2023,11,2.3,27.8,31.742857142857144,23.842857142857145,1,2023-03-13,0.970941817426052,0.23931566428755804,3,7.899999999999999,41.2,0.5,27.25714285714286,27.75714285714286,3.0,1
2023,12,76.3,28.057142857142857,31.614285714285717,24.685714285714287,4,2023-03-20,0.992708874098054,0.120536680255323,3,6.928571428571431,2.3,41.2,27.8,27.25714285714286,1.0,0
2023,13,13.4,28.685714285714287,32.0,25.342857142857145,3,2023-03-27,1.0,-1.6081226496766366e-16,3,6.657142857142855,76.3,2.3,28.057142857142857,27.8,4.0,1
2023,14,54.9,27.942857142857143,31.657142857142855,24.685714285714287,3,2023-04-03,0.992708874098054,-0.12053668025532288,4,6.971428571428568,13.4,76.3,28.685714285714287,28.057142857142857,3.0,1
2023,15,63.3,28.75714285714286,32.65714285714286,25.357142857142858,4,2023-04-10,0.9709418174260521,-0.2393156642875575,4,7.300000000000001,54.9,13.4,27.942857142857143,28.685714285714287,3.0,0
2023,16,10.7,29.67142857142857,32.628571428571426,26.25714285714286,1,2023-04-17,0.9350162426854148,-0.35460488704253545,4,6.371428571428567,63.3,54.9,28.75714285714286,27.942857142857143,4.0,1
2023,17,127.8,27.642857142857142,32.457142857142856,24.599999999999998,6,2023-04-24,0.8854560256532099,-0.4647231720437685,4,7.857142857142858,10.7,63.3,29.67142857142857,28.75714285714286,1.0,1
2023,18,193.5,27.87142857142857,31.17142857142857,24.771428571428572,6,2023-05-01,0.8229838658936565,-0.5680647467311557,5,6.399999999999999,127.8,10.7,27.642857142857142,29.67142857142857,6.0,1
2023,19,59.099999999999994,29.071428571428573,31.728571428571428,26.057142857142857,6,2023-05-08,0.7485107481711013,-0.663122658240795,5,5.671428571428571,193.5,127.8,27.87142857142857,27.642857142857142,6.0,1
2023,20,45.7,29.157142857142855,31.185714285714287,27.357142857142858,4,2023-05-15,0.6631226582407952,-0.7485107481711012,5,3.828571428571429,59.099999999999994,193.5,29.071428571428573,27.87142857142857,6.0,1
2023,21,16.0,29.642857142857142,32.01428571428571,26.614285714285717,3,2023-05-22,0.5680647467311558,-0.8229838658936564,5,5.399999999999995,45.7,59.099999999999994,29.157142857142855,29.071428571428573,4.0,1
2023,22,21.6,29.785714285714285,32.3,27.157142857142855,4,2023-05-29,0.46472317204376906,-0.8854560256532096,5,5.142857142857142,16.0,45.7,29.642857142857142,29.157142857142855,3.0,1
2023,23,27.5,28.97142857142857,31.142857142857142,27.042857142857144,7,2023-06-05,0.35460488704253584,-0.9350162426854147,6,4.099999999999998,21.6,16.0,29.785714285714285,29.642857142857142,4.0,1
2023,24,32.3,28.985714285714288,31.157142857142855,26.928571428571427,3,2023-06-12,0.23931566428755768,-0.970941817426052,6,4.228571428571428,27.5,21.6,28.97142857142857,29.785714285714285,7.0,0
2023,25,14.5,29.071428571428573,31.2,26.657142857142855,4,2023-06-19,0.12053668025532308,-0.992708874098054,6,4.5428571428571445,32.3,27.5,28.985714285714288,28.97142857142857,3.0,0
2023,26,11.5,28.52857142857143,30.82857142857143,25.428571428571427,6,2023-06-26,-3.216245299353273e-16,-1.0,6,5.400000000000002,14.5,32.3,29.071428571428573,28.985714285714288,4.0,1
2023,27,46.800000000000004,27.74285714285714,30.099999999999998,25.557142857142857,5,2023-07-03,-0.12053668025532283,-0.992708874098054,7,4.542857142857141,11.5,14.5,28.52857142857143,29.071428571428573,6.0,0
2023,28,11.0,28.75714285714286,31.142857142857142,27.157142857142855,2,2023-07-10,-0.23931566428755743,-0.9709418174260521,7,3.9857142857142875,46.800000000000004,11.5,27.74285714285714,28.52857142857143,5.0,0
2023,29,0.0,29.085714285714285,31.428571428571427,27.457142857142856,0,2023-07-17,-0.3546048870425356,-0.9350162426854148,7,3.9714285714285715,11.0,46.800000000000004,28.75714285714286,27.74285714285714,2.0,1
2023,30,41.4,28.25714285714286,30.442857142857143,26.142857142857142,3,2023-07-24,-0.46472317204376806,-0.8854560256532101,7,4.300000000000001,0.0,11.0,29.085714285714285,28.75714285714286,0.0,0
2023,31,0.5,28.74285714285714,30.928571428571427,27.385714285714283,1,2023-07-31,-0.5680647467311556,-0.8229838658936566,7,3.5428571428571445,41.4,0.0,28.25714285714286,29.085714285714285,3.0,0
2023,32,0.0,28.97142857142857,31.25714285714286,27.385714285714283,0,2023-08-07,-0.663122658240795,-0.7485107481711013,8,3.871428571428577,0.5,41.4,28.74285714285714,28.25714285714286,1.0,0
2023,33,1.3,29.2,31.82857142857143,27.24285714285714,3,2023-08-14,-0.7485107481711011,-0.6631226582407952,8,4.585714285714289,0.0,0.5,28.97142857142857,28.74285714285714,0.0,0
2023,34,9.899999999999999,29.47142857142857,32.25714285714286,26.814285714285713,2,2023-08-21,-0.8229838658936564,-0.5680647467311559,8,5.442857142857147,1.3,0.0,29.2,28.97142857142857,3.0,1
2023,35,219.0,27.314285714285713,30.099999999999998,24.914285714285715,7,2023-08-28,-0.8854560256532096,-0.4647231720437691,8,5.185714285714283,9.899999999999999,1.3,29.47142857142857,29.2,2.0,1
2023,36,104.2,27.37142857142857,30.32857142857143,24.942857142857143,6,2023-09-04,-0.9350162426854147,-0.3546048870425359,9,5.385714285714286,219.0,9.899999999999999,27.314285714285713,29.47142857142857,7.0,1
2023,37,55.1,27.714285714285715,30.942857142857143,25.142857142857142,4,2023-09-11,-0.970941817426052,-0.23931566428755774,9,5.800000000000001,104.2,219.0,27.37142857142857,27.314285714285713,6.0,1
2023,38,195.29999999999998,27.285714285714285,30.314285714285713,24.542857142857144,7,2023-09-18,-0.992708874098054,-0.12053668025532357,9,5.771428571428569,55.1,104.2,27.714285714285715,27.37142857142857,4.0,1
2023,39,208.5,26.728571428571428,30.17142857142857,24.62857142857143,7,2023-09-25,-1.0,-1.8369701987210297e-16,9,5.542857142857141,195.29999999999998,55.1,27.285714285714285,27.714285714285715,7.0,1
2023,40,235.6,26.685714285714283,29.842857142857145,24.5,7,2023-10-02,-0.992708874098054,0.1205366802553232,10,5.342857142857145,208.5,195.29999999999998,26.728571428571428,27.285714285714285,7.0,1
2023,41,80.5,27.25714285714286,30.457142857142856,25.014285714285712,3,2023-10-09,-0.9709418174260521,0.23931566428755738,10,5.442857142857143,235.6,208.5,26.685714285714283,26.728571428571428,7.0,1
2023,42,142.4,26.785714285714285,29.785714285714285,24.3,5,2023-10-16,-0.9350162426854148,0.35460488704253557,10,5.485714285714284,80.5,235.6,27.25714285714286,26.685714285714283,3.0,1
2023,43,29.8,27.5,30.928571428571427,24.728571428571428,6,2023-10-23,-0.8854560256532101,0.464723172043768,10,6.199999999999999,142.4,80.5,26.785714285714285,27.25714285714286,5.0,1
2023,44,178.9,27.04285714285714,31.24285714285714,23.985714285714288,7,2023-10-30,-0.822983865893657,0.5680647467311548,10,7.257142857142853,29.8,142.4,27.5,26.785714285714285,6.0,1
2023,45,187.49999999999997,27.0,31.32857142857143,22.985714285714288,7,2023-11-06,-0.7485107481711011,0.6631226582407952,11,8.342857142857142,178.9,29.8,27.04285714285714,27.5,7.0,1
2023,46,78.5,27.67142857142857,31.17142857142857,24.785714285714285,6,2023-11-13,-0.6631226582407955,0.7485107481711007,11,6.385714285714286,187.49999999999997,178.9,27.0,27.04285714285714,7.0,1
2023,47,82.6,27.614285714285717,31.17142857142857,24.400000000000002,4,2023-11-20,-0.5680647467311559,0.8229838658936564,11,6.771428571428569,78.5,187.49999999999997,27.67142857142857,27.0,6.0,1
2023,48,39.4,27.571428571428573,31.114285714285717,24.657142857142855,4,2023-11-27,-0.4647231720437684,0.88545602565321,11,6.457142857142863,82.6,78.5,27.614285714285717,27.67142857142857,4.0,1
2023,49,135.1,27.099999999999998,30.814285714285713,24.62857142857143,6,2023-12-04,-0.35460488704253595,0.9350162426854147,12,6.185714285714283,39.4,82.6,27.571428571428573,27.614285714285717,4.0,1
2023,50,113.6,26.942857142857143,31.342857142857145,24.014285714285712,6,2023-12-11,-0.2393156642875578,0.970941817426052,12,7.328571428571433,135.1,39.4,27.099999999999998,27.571428571428573,6.0,1
2023,51,29.5,27.75714285714286,32.51428571428571,25.228571428571428,5,2023-12-18,-0.12053668025532363,0.992708874098054,12,7.285714285714285,113.6,135.1,26.942857142857143,27.099999999999998,6.0,1
2023,52,22.4,27.660000000000004,32.08,25.1,4,2023-12-27,6.432490598706546e-16,1.0,12,6.979999999999997,29.5,113.6,27.75714285714286,26.942857142857143,5.0,1
2024,1,19.9,27.660000000000004,31.68,24.96,2,2024-01-01,0.12053668025532305,0.992708874098054,1,6.719999999999999,22.4,29.5,27.660000000000004,27.75714285714286,4.0,1
2024,2,52.5,27.083333333333332,31.133333333333336,24.28333333333333,2,2024-01-08,0.23931566428755774,0.970941817426052,1,6.850000000000005,19.9,22.4,27.660000000000004,27.660000000000004,2.0,0
2024,3,0.0,25.6,31.6,22.9,0,2024-01-15,0.3546048870425356,0.9350162426854148,1,8.700000000000003,52.5,19.9,27.083333333333332,27.660000000000004,2.0,1
2024,22,79.2,28.571428571428573,30.771428571428572,26.085714285714285,5,2024-05-27,0.46472317204376906,-0.8854560256532096,5,4.685714285714287,0.0,52.5,25.6,27.083333333333332,0.0,1
2024,23,25.4,28.457142857142856,31.485714285714288,25.185714285714287,1,2024-06-03,0.35460488704253584,-0.9350162426854147,6,6.300000000000001,79.2,0.0,28.571428571428573,25.6,5.0,0
2024,24,7.6,28.857142857142858,31.142857142857142,26.614285714285717,3,2024-06-10,0.23931566428755768,-0.970941817426052,6,4.528571428571425,25.4,79.2,28.457142857142856,28.571428571428573,1.0,1
2024,25,54.6,28.62857142857143,31.457142857142856,25.414285714285715,7,2024-06-17,0.12053668025532308,-0.992708874098054,6,6.042857142857141,7.6,25.4,28.857142857142858,28.457142857142856,3.0,1
2024,26,75.4,27.900000000000002,31.014285714285712,24.614285714285717,3,2024-06-24,-3.216245299353273e-16,-1.0,6,6.399999999999995,54.6,7.6,28.62857142857143,28.857142857142858,7.0,1
2024,27,36.9,28.142857142857142,31.814285714285713,24.771428571428572,2,2024-07-01,-0.12053668025532283,-0.992708874098054,7,7.042857142857141,75.4,54.6,27.900000000000002,28.62857142857143,3.0,1
2024,28,32.0,28.542857142857144,31.142857142857142,24.857142857142858,4,2024-07-08,-0.23931566428755743,-0.9709418174260521,7,6.285714285714285,36.9,75.4,28.142857142857142,27.900000000000002,2.0,0
2024,29,6.1,28.514285714285712,31.871428571428574,25.442857142857143,1,2024-07-15,-0.3546048870425356,-0.9350162426854148,7,6.428571428571431,32.0,36.9,28.542857142857144,28.142857142857142,4.0,0
