week_start,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,temp_range,week_sin,week_cos,month,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2010-11-29,206.2,25.514285714285712,28.728571428571428,23.342857142857145,7,5.385714285714283,-0.4647231720437684,0.88545602565321,11,330.4,90.8,25.614285714285717,26.285714285714285,7.0,1
2010-12-06,143.0,25.714285714285715,28.75714285714286,23.485714285714288,5,5.271428571428572,-0.35460488704253595,0.9350162426854147,12,206.2,330.4,25.514285714285712,25.614285714285717,7.0,0
2010-12-13,0.8,26.985714285714288,30.571428571428573,23.7,1,6.871428571428574,-0.2393156642875578,0.970941817426052,12,143.0,206.2,25.714285714285715,25.514285714285712,5.0,0
2010-12-20,14.5,25.62857142857143,29.24285714285714,23.62857142857143,5,5.61428571428571,-0.12053668025532363,0.992708874098054,12,0.8,143.0,26.985714285714288,25.714285714285715,1.0,0
2010-12-27,1.5,26.228571428571428,30.042857142857144,23.585714285714285,1,6.457142857142859,6.432490598706546e-16,1.0,12,14.5,0.8,25.62857142857143,26.985714285714288,5.0,0
2011-01-03,8.4,25.87142857142857,30.599999999999998,24.171428571428574,2,6.4285714285714235,0.12053668025532305,0.992708874098054,1,1.5,14.5,26.228571428571428,25.62857142857143,1.0,1
2011-01-10,16.5,24.7,27.985714285714288,22.142857142857142,3,5.842857142857145,0.23931566428755774,0.970941817426052,1,8.4,1.5,25.87142857142857,26.228571428571428,2.0,0
2011-01-17,0.0,26.542857142857144,30.74285714285714,22.728571428571428,0,8.014285714285712,0.3546048870425356,0.9350162426854148,1,16.5,8.4,24.7,25.87142857142857,3.0,0
2011-01-24,5.1,26.885714285714283,31.571428571428573,23.557142857142857,1,8.014285714285716,0.4647231720437685,0.8854560256532099,1,0.0,16.5,26.542857142857144,24.7,0.0,1
2011-01-31,48.4,25.17142857142857,28.099999999999998,23.5,6,4.599999999999998,0.5680647467311558,0.8229838658936564,1,5.1,0.0,26.885714285714283,26.542857142857144,1.0,0
2011-02-07,3.5999999999999996,26.642857142857142,30.67142857142857,23.957142857142856,2,6.714285714285715,0.6631226582407952,0.7485107481711011,2,48.4,5.1,25.17142857142857,26.885714285714283,6.0,0
2011-02-14,0.0,27.457142857142856,30.542857142857144,24.685714285714287,0,5.857142857142858,0.7485107481711011,0.6631226582407953,2,3.5999999999999996,48.4,26.642857142857142,25.17142857142857,2.0,1
2011-02-21,24.000000000000004,27.12857142857143,30.542857142857144,24.214285714285715,4,6.328571428571429,0.8229838658936564,0.5680647467311559,2,0.0,3.5999999999999996,27.457142857142856,26.642857142857142,0.0,0
2011-02-28,7.2,27.2,31.733333333333334,24.03333333333333,2,7.700000000000003,0.8854560256532099,0.4647231720437686,2,24.000000000000004,0.0,27.12857142857143,27.457142857142856,4.0,0
2011-03-07,0.0,27.400000000000002,31.142857142857142,23.857142857142858,0,7.285714285714285,0.9350162426854148,0.35460488704253557,3,7.2,24.000000000000004,27.2,27.12857142857143,2.0,0
2011-03-14,0.0,28.7,33.05714285714286,24.985714285714288,0,8.07142857142857,0.970941817426052,0.23931566428755804,3,0.0,7.2,27.400000000000002,27.2,0.0,1
2011-03-21,66.9,28.24285714285714,31.214285714285715,25.599999999999998,5,5.614285714285717,0.992708874098054,0.120536680255323,3,0.0,0.0,28.7,27.400000000000002,0.0,1
2011-03-28,59.0,28.571428571428573,31.385714285714283,25.342857142857145,3,6.042857142857137,1.0,-1.6081226496766366e-16,3,66.9,0.0,28.24285714285714,28.7,5.0,0
2011-04-04,15.0,28.314285714285713,31.571428571428573,25.414285714285715,2,6.157142857142858,0.992708874098054,-0.12053668025532288,4,59.0,66.9,28.571428571428573,28.24285714285714,3.0,1
2011-04-11,47.7,27.342857142857145,31.5,23.24285714285714,3,8.25714285714286,0.9709418174260521,-0.2393156642875575,4,15.0,59.0,28.314285714285713,28.571428571428573,2.0,1
2011-04-18,157.89999999999998,26.985714285714288,30.342857142857145,24.214285714285715,5,6.12857142857143,0.9350162426854148,-0.35460488704253545,4,47.7,15.0,27.342857142857145,28.314285714285713,3.0,1
2011-04-25,133.3,27.82857142857143,30.442857142857143,25.057142857142857,6,5.385714285714286,0.8854560256532099,-0.4647231720437685,4,157.89999999999998,47.7,26.985714285714288,27.342857142857145,5.0,0
2011-05-02,7.2,29.542857142857144,31.52857142857143,28.02857142857143,2,3.5,0.8229838658936565,-0.5680647467311557,5,133.3,157.89999999999998,27.82857142857143,26.985714285714288,6.0,1
2011-05-09,31.599999999999998,28.900000000000002,31.2,26.042857142857144,4,5.157142857142855,0.7485107481711013,-0.663122658240795,5,7.2,133.3,29.542857142857144,27.82857142857143,2.0,1
2011-05-16,28.700000000000003,28.785714285714285,31.542857142857144,25.87142857142857,2,5.671428571428574,0.6631226582407952,-0.7485107481711012,5,31.599999999999998,7.2,28.900000000000002,29.542857142857144,4.0,1
2011-05-23,71.89999999999999,28.842857142857145,31.014285714285712,27.057142857142857,6,3.9571428571428555,0.5680647467311558,-0.8229838658936564,5,28.700000000000003,31.599999999999998,28.785714285714285,28.900000000000002,2.0,1
2011-05-30,105.89999999999999,28.285714285714285,30.814285714285713,25.7,6,5.114285714285714,0.46472317204376906,-0.8854560256532096,5,71.89999999999999,28.700000000000003,28.842857142857145,28.785714285714285,6.0,1
2011-06-06,67.3,27.400000000000002,29.96666666666667,25.400000000000002,3,4.566666666666666,0.35460488704253584,-0.9350162426854147,6,105.89999999999999,71.89999999999999,28.285714285714285,28.842857142857145,6.0,1
2011-06-14,47.300000000000004,28.400000000000002,30.849999999999998,25.46666666666667,5,5.383333333333329,0.23931566428755768,-0.970941817426052,6,67.3,105.89999999999999,27.400000000000002,28.285714285714285,3.0,0
2011-06-20,0.0,28.928571428571427,30.87142857142857,27.685714285714287,0,3.1857142857142833,0.12053668025532308,-0.992708874098054,6,47.300000000000004,67.3,28.400000000000002,27.400000000000002,5.0,0
2011-06-27,0.0,28.385714285714283,30.87142857142857,27.057142857142857,0,3.814285714285713,-3.216245299353273e-16,-1.0,6,0.0,47.300000000000004,28.928571428571427,28.400000000000002,0.0,0
